       value	     chindex	     chlabel	        bini	  binlabel	ERPset
       3.213	           1	        E104	         200	02_:_60510	
      -9.796	           1	        E104	         201	03_:_30101	
     -45.553	           1	        E104	         202	03_:_30102	
      34.672	           1	        E104	         203	03_:_30103	
      22.978	           1	        E104	         204	03_:_30104	
       2.276	           1	        E104	         205	03_:_30105	
     -13.216	           1	        E104	         206	03_:_30106	
       2.970	           1	        E104	         207	03_:_30107	
      -5.883	           1	        E104	         208	03_:_30108	
      -1.789	           1	        E104	         209	03_:_30109	
      14.465	           1	        E104	         210	03_:_30110	
      -5.032	           1	        E104	         211	03_:_30201	
     -37.925	           1	        E104	         212	03_:_30202	
     -48.487	           1	        E104	         213	03_:_30203	
     -22.483	           1	        E104	         214	03_:_30204	
     -18.376	           1	        E104	         215	03_:_30205	
     -43.030	           1	        E104	         216	03_:_30206	
     -58.255	           1	        E104	         217	03_:_30207	
     -19.959	           1	        E104	         218	03_:_30208	
     -29.260	           1	        E104	         219	03_:_30209	
      17.686	           1	        E104	         220	03_:_30210	
     -24.163	           1	        E104	         221	03_:_30301	
      -5.253	           1	        E104	         222	03_:_30302	
     -26.271	           1	        E104	         223	03_:_30303	
      -5.115	           1	        E104	         224	03_:_30304	
     -35.470	           1	        E104	         225	03_:_30305	
     -12.050	           1	        E104	         226	03_:_30306	
      40.692	           1	        E104	         227	03_:_30307	
      -6.752	           1	        E104	         228	03_:_30308	
     -15.921	           1	        E104	         229	03_:_30309	
      21.006	           1	        E104	         230	03_:_30310	
      -9.555	           1	        E104	         231	03_:_30401	
      51.853	           1	        E104	         232	03_:_30402	
     -16.252	           1	        E104	         233	03_:_30403	
      25.370	           1	        E104	         234	03_:_30404	
       4.447	           1	        E104	         235	03_:_30405	
       7.135	           1	        E104	         236	03_:_30406	
       1.682	           1	        E104	         237	03_:_30407	
     -19.980	           1	        E104	         238	03_:_30408	
     -10.001	           1	        E104	         239	03_:_30409	
      32.313	           1	        E104	         240	03_:_30410	
     -44.720	           1	        E104	         241	03_:_30501	
     -44.328	           1	        E104	         242	03_:_30502	
      -6.260	           1	        E104	         243	03_:_30503	
       5.621	           1	        E104	         244	03_:_30504	
      -9.166	           1	        E104	         245	03_:_30505	
      17.273	           1	        E104	         246	03_:_30506	
